brand,instagram_account,facebook_page,post_id,name,publish_date,day,publish_time,timezone,format,instagram_placement,facebook_placement,media_files,caption,first_comment,alt_text
"CYDL","@cleanyourdirtylaundry","https://www.facebook.com/profile.php?id=61592741337111","P01","The Chair","2026-08-03","Mon","18:30","America/New_York","single","Feed (4:5)","Feed (1:1)","out/P01-the-chair/P01-feed-1x1.jpg | out/P01-the-chair/P01-feed-4x5.jpg","Nobody types ""laundry service"" into a search bar. You scroll until something describes your room back to you.

So: the chair. It hasn't been a chair in a while. There is a hoodie on it doing structural work.

$100/month, flat. One 20 lb bag a week. Out Tuesday, back Thursday, folded.
Raleigh campuses. We start at Packapalooza, Saturday Aug 22.

Claim your spot: cleanyourdirtylaundry.com

#cleanyourdirtylaundry #raleigh #raleighnc #collegelife #dormlife #laundryday #laundryservice #campuslife","Pickup Tuesday. Back Thursday. Washed at a commercial laundromat on North Raleigh Boulevard. hello@cleanyourdirtylaundry.com","Navy graphic reading 'You didn't search for this.' beside an illustration of a chair buried under a pile of laundry. Footer reads $100/mo flat, one 20 lb bag a week, out Tuesday back Thursday."
"CYDL","@cleanyourdirtylaundry","https://www.facebook.com/profile.php?id=61592741337111","P02","The Evidence","2026-08-05","Wed","20:00","America/New_York","carousel","Carousel (4:5)","Album (4:5)","out/P02-the-evidence/P02-feed-4x5-01.jpg | out/P02-the-evidence/P02-feed-4x5-02.jpg | out/P02-the-evidence/P02-feed-4x5-03.jpg | out/P02-the-evidence/P02-feed-4x5-04.jpg | out/P02-the-evidence/P02-feed-4x5-05.jpg","You are seeing this because of a hoodie you turned inside out.

That is the whole targeting model. There is no data broker. There is a chair, a drawer that only has one sock in it, and a set of sheets that have been on that bed since August.

$100/month, flat. One 20 lb bag a week, hard cap. Comforter is a $20 add-on. Sheets and linens are priced at signup.

Out Tuesday. Back Thursday. Folded.
cleanyourdirtylaundry.com

#cleanyourdirtylaundry #raleigh #raleighnc #collegelife #dormlife #studentlife #moveinday #packapalooza","Hard cap is 20 lb. If a bag goes over, you get a text before anything is charged. hello@cleanyourdirtylaundry.com","Five-slide carousel styled as an ad-transparency file. Slides read How did they know, Exhibit A the hoodie trick, Exhibit B sock rationing, Exhibit C the sheets, and a closing offer card with pricing."
"CYDL","@cleanyourdirtylaundry","https://www.facebook.com/profile.php?id=61592741337111","P03","1:47 AM","2026-08-07","Fri","19:30","America/New_York","reel","Reel (9:16)","Reel (9:16)","out/P03-1-47-am/P03-feed-4x5.jpg | out/P03-1-47-am/P03-reel-9x16.jpg | out/P03-1-47-am/P03-reel-9x16.mp4","It is 1:47 AM and you are not looking for a laundry service. You are looking for anything.

And yet.

$100/month, flat. One 20 lb bag a week. Out Tuesday, back Thursday, folded.
cleanyourdirtylaundry.com

#cleanyourdirtylaundry #raleigh #raleighnc #collegelife #dormlife #offcampus #collegehacks #adulting","No app to download. You sign up, you get a number, we text you Monday night. hello@cleanyourdirtylaundry.com","Vertical video on a dark navy background. White text appears line by line: It's 1:47 AM. You are not looking for a laundry service. You are looking for anything. And yet. Here we are. Ends with pricing and the CYDL logo."
"CYDL","@cleanyourdirtylaundry","https://www.facebook.com/profile.php?id=61592741337111","P04","The Sock Count","2026-08-10","Mon","22:45","America/New_York","single","Feed (4:5)","Feed (1:1)","out/P04-the-sock-count/P04-feed-1x1.jpg | out/P04-the-sock-count/P04-feed-4x5.jpg","Somewhere in the last four days you started wearing the socks you do not like. Nobody decides that on purpose. It just happens, and then an ad shows up.

One 20 lb bag a week covers a normal person's normal week. Out Tuesday, back Thursday, folded.

$100/month, flat.
cleanyourdirtylaundry.com

#cleanyourdirtylaundry #raleigh #raleighnc #collegelife #dormlife #foldedandreturned #laundryday #laundryservice","20 lb is roughly two full kitchen bags of clothes. It is a hard cap, not a starting point.","Powder blue graphic reading 'It counted your socks.' next to an illustration of a laundry pile on the floor, with pricing in the footer."
"CYDL","@cleanyourdirtylaundry","https://www.facebook.com/profile.php?id=61592741337111","P05","The Sheets","2026-08-12","Wed","18:00","America/New_York","carousel","Carousel (4:5)","Album (4:5)","out/P05-the-sheets/P05-feed-4x5-01.jpg | out/P05-the-sheets/P05-feed-4x5-02.jpg | out/P05-the-sheets/P05-feed-4x5-03.jpg","The sheets have been on that bed since move-in. You know the date. We are not going to say it out loud.

Strip them Monday night, put them in the bag Tuesday morning. Sheets and linens are an add-on priced at signup. A comforter is $20.

$100/month, flat, for the weekly bag. Out Tuesday, back Thursday.
cleanyourdirtylaundry.com

#cleanyourdirtylaundry #raleigh #raleighnc #collegelife #dormlife #campuslife #studentlife #moveinday","Comforter is a $20 add-on. Sheets and linens are priced at signup. hello@cleanyourdirtylaundry.com","Three-slide carousel reading Your sheets gave you up, Same sheets since move-in, and Put them in the bag, with add-on pricing on the final slide."
"CYDL","@cleanyourdirtylaundry","https://www.facebook.com/profile.php?id=61592741337111","P06","Move-In Week","2026-08-14","Fri","12:30","America/New_York","single","Feed (4:5)","Feed (1:1)","out/P06-move-in-week/P06-feed-1x1.jpg | out/P06-move-in-week/P06-feed-4x5.jpg","Move-in is Aug 14 to 16. The pile starts on day one. It is patient. It has nowhere else to be.

First pickup is a Tuesday. You will have already forgotten which one, so we text you Monday night.

$100/month, flat. One 20 lb bag a week. Back Thursday, folded.
cleanyourdirtylaundry.com

#cleanyourdirtylaundry #raleigh #raleighnc #collegelife #dormlife #packapalooza #offcampus #collegehacks","We text you Monday night so the bag is out Tuesday. That is the entire reminder system.","Navy graphic reading 'You haven't unpacked. It already knows.' with a move-in date kicker and an illustration of a laundry pile on a desk."
"CYDL","@cleanyourdirtylaundry","https://www.facebook.com/profile.php?id=61592741337111","P07","For You Chair","2026-08-16","Sun","17:00","America/New_York","story","Story (9:16)","Story (9:16)","out/P07-for-you-chair/P07-story-9x16.jpg","For You Page. Not For You Chair.

One of those two is being handled and it is not the chair.

$100/month, flat. One 20 lb bag a week. Out Tuesday, back Thursday.
cleanyourdirtylaundry.com

#cleanyourdirtylaundry #raleigh #raleighnc #collegelife #dormlife #adulting #foldedandreturned #laundryday","","Vertical story graphic reading 'For You Page. Not For You Chair.' with an illustration of a laundry pile sitting on a chair."
"CYDL","@cleanyourdirtylaundry","https://www.facebook.com/profile.php?id=61592741337111","P08","The Person Paying","2026-08-18","Tue","08:15","America/New_York","single","Feed (4:5)","Feed (1:1)","out/P08-the-person-paying/P08-feed-1x1.jpg | out/P08-the-person-paying/P08-feed-4x5.jpg","This one did not go to your kid. It went to you, because you are the one who has seen the background of the FaceTime.

$100 a month, flat. One 20 lb bag a week, hard cap. Comforter is a $20 add-on. Sheets and linens are priced at signup. If a bag runs over the cap, they get a text before anything is charged.

Picked up Tuesday, washed at a commercial laundromat on North Raleigh Boulevard, back Thursday, folded.

The full parent page: cleanyourdirtylaundry.com/parents.html

#cleanyourdirtylaundry #raleigh #raleighnc #collegelife #dormlife #laundryservice #campuslife #studentlife","Written for the person paying: cleanyourdirtylaundry.com/parents.html · hello@cleanyourdirtylaundry.com","Powder blue graphic reading 'It didn't send this to them. It sent it to you.' with an illustration of a laundry pile facing a canvas laundry bag."
"CYDL","@cleanyourdirtylaundry","https://www.facebook.com/profile.php?id=61592741337111","P09","It Knows Your Tuesday","2026-08-20","Thu","19:00","America/New_York","carousel","Carousel (4:5)","Album (4:5)","out/P09-it-knows-your-tuesday/P09-feed-4x5-01.jpg | out/P09-it-knows-your-tuesday/P09-feed-4x5-02.jpg | out/P09-it-knows-your-tuesday/P09-feed-4x5-03.jpg | out/P09-it-knows-your-tuesday/P09-feed-4x5-04.jpg","Your Tuesday is already spoken for. Class, work, the same walk, the same coffee. We just added one step to it and it takes nine seconds.

Monday night: we text you.
Tuesday: the bag goes out.
Thursday: it comes back folded.

$100/month, flat. One 20 lb bag a week, hard cap. Washed at a commercial laundromat on North Raleigh Boulevard.
cleanyourdirtylaundry.com

#cleanyourdirtylaundry #raleigh #raleighnc #collegelife #dormlife #moveinday #packapalooza #offcampus","One van, four campuses. hello@cleanyourdirtylaundry.com","Four-slide carousel: It knows your Tuesday, Monday night we text you, Tuesday the bag goes out, Thursday it comes back folded, with flat pricing on the last slide."
"CYDL","@cleanyourdirtylaundry","https://www.facebook.com/profile.php?id=61592741337111","P10","Founding Numbers","2026-08-22","Sat","09:00","America/New_York","reel","Reel (9:16)","Reel (9:16)","out/P10-founding-numbers/P10-feed-1x1.jpg | out/P10-founding-numbers/P10-feed-4x5.jpg | out/P10-founding-numbers/P10-reel-9x16.jpg | out/P10-founding-numbers/P10-reel-9x16.mp4","The algorithm was right. You do hate doing laundry. It has been right about that for weeks.

We start today at Packapalooza. Sign up and you get a number. The first 100 numbers are founding numbers: locked pickup priority at launch, and numbered founding gear later.

$100/month, flat. One 20 lb bag a week. Out Tuesday, back Thursday, folded.

Claim your spot: cleanyourdirtylaundry.com

#cleanyourdirtylaundry #raleigh #raleighnc #collegelife #dormlife #collegehacks #adulting #foldedandreturned","Founding numbers are the first 100 signups. Locked pickup priority at launch, numbered founding gear later. hello@cleanyourdirtylaundry.com","Navy graphic reading 'The algorithm was right. You do hate it.' with a Packapalooza Saturday Aug 22 kicker and founding-number offer copy."
