status,brand,instagram_account,facebook_page,post_id,name,publish_date,day,publish_time,timezone,format,instagram_placement,facebook_placement,media_files,caption,first_comment,alt_text
"DRAFT — DO NOT PUBLISH","Hamper'd","TODO — the Hamper'd Instagram handle","TODO","H01","The Basement","2026-08-04","Tue","18:00","America/New_York","single","Feed (4:5)","Feed (1:1)","out/H01-the-basement/H01-feed-1x1.jpg | out/H01-the-basement/H01-feed-4x5.jpg","You did not buy a house to spend Sunday in the basement.

Hamper'd picks it up, washes it, folds it, and brings it back in 24 to 48 hours. One flat monthly rate — {{PRICE}}. No per-pound math, no surprise total at the end.

Raleigh and {{AREA}}.
hamperd.com

#hamperd #raleigh #raleighnc #laundryservice #laundryday #pickupanddelivery #washandfold","Family-run, eco-friendly, Raleigh-based. {{EMAIL}}","Graphic reading 'You didn't buy a house to spend Sunday in it.' with flat monthly pricing and 24 to 48 hour turnaround in the footer."
"DRAFT — DO NOT PUBLISH","Hamper'd","TODO — the Hamper'd Instagram handle","TODO","H02","The Thursday Load","2026-08-06","Thu","12:15","America/New_York","single","Feed (4:5)","Feed (1:1)","out/H02-the-thursday-load/H02-feed-1x1.jpg | out/H02-the-thursday-load/H02-feed-4x5.jpg","The load you started Thursday is still in the washer. You know because you opened it. You are going to have to run it again.

That is the part nobody counts. Laundry is not one job — it is a job you have to keep remembering.

We remember it for you. Picked up, washed, folded, back in 24 to 48 hours. {{PRICE}} a month, flat.
hamperd.com

#hamperd #raleigh #raleighnc #laundryservice #raleighsmallbusiness #workingparents #familyrun","Guaranteed weekly pickup slot means it stops being something you have to remember.","Graphic reading 'The load you started Thursday is still in there.' above flat monthly pricing and 24 to 48 hour turnaround."
"DRAFT — DO NOT PUBLISH","Hamper'd","TODO — the Hamper'd Instagram handle","TODO","H03","Never Once Empty","2026-08-11","Tue","18:00","America/New_York","single","Feed (4:5)","Feed (1:1)","out/H03-never-once-empty/H03-feed-1x1.jpg | out/H03-never-once-empty/H03-feed-4x5.jpg","Two jobs. Three kids. One hamper that has never once, in its entire life, been empty.

It is not really a chore. It is a standing weekly appointment nobody ever agreed to.

Hamper'd takes the appointment. {{PRICE}} a month flat, guaranteed weekly pickup slot, back in 24 to 48 hours folded.
hamperd.com

#hamperd #raleigh #raleighnc #laundryservice #trianglenc #airbnbhost #raleighbusiness","Free reusable Hamper'd bag with a subscription. Fill it, put it out, done.","Graphic reading 'Two jobs. Three kids. One hamper that's never been empty.' with flat monthly pricing in the footer."
"DRAFT — DO NOT PUBLISH","Hamper'd","TODO — the Hamper'd Instagram handle","TODO","H04","What A Sunday Costs","2026-08-13","Thu","19:00","America/New_York","carousel","Carousel (4:5)","Album (4:5)","out/H04-what-a-sunday-costs/H04-feed-4x5-01.jpg | out/H04-what-a-sunday-costs/H04-feed-4x5-02.jpg | out/H04-what-a-sunday-costs/H04-feed-4x5-03.jpg | out/H04-what-a-sunday-costs/H04-feed-4x5-04.jpg | out/H04-what-a-sunday-costs/H04-feed-4x5-05.jpg | out/H04-what-a-sunday-costs/H04-feed-4x5-06.jpg","Add up one Sunday. Sorting, twenty minutes. Wash and dry, three hours of waiting. Folding, forty-five minutes. Putting it away — tomorrow, probably.

That is most of a day, every week, for as long as you live in that house.

Or: one bag on the porch. {{PRICE}} a month, flat.
hamperd.com

#hamperd #raleigh #raleighnc #laundryservice #timeback #laundryday #pickupanddelivery","No per-pound math and no surprise totals. One flat rate, every month.","Six-slide carousel costing out a Sunday spent on laundry: sorting twenty minutes, wash and dry three hours, folding forty-five minutes, putting it away tomorrow, versus one bag on the porch."
"DRAFT — DO NOT PUBLISH","Hamper'd","TODO — the Hamper'd Instagram handle","TODO","H05","Works Weekends","2026-08-18","Tue","07:45","America/New_York","single","Feed (4:5)","Feed (1:1)","out/H05-works-weekends/H05-feed-1x1.jpg | out/H05-works-weekends/H05-feed-4x5.jpg","Your washing machine works every weekend. It is the only one in the house getting overtime and it is not even complaining.

You can stop covering its shift. {{PRICE}} a month flat, guaranteed weekly pickup, folded and back in 24 to 48 hours.
hamperd.com

#hamperd #raleigh #raleighnc #laundryservice #washandfold #raleighsmallbusiness #workingparents","Picked up on your guaranteed slot, back in 24 to 48 hours. {{EMAIL}}","Graphic reading 'Your washer works weekends. You shouldn't.' with flat monthly pricing and turnaround in the footer."
"DRAFT — DO NOT PUBLISH","Hamper'd","TODO — the Hamper'd Instagram handle","TODO","H06","The Whole Product","2026-08-20","Thu","18:30","America/New_York","carousel","Carousel (4:5)","Album (4:5)","out/H06-the-whole-product/H06-feed-4x5-01.jpg | out/H06-the-whole-product/H06-feed-4x5-02.jpg | out/H06-the-whole-product/H06-feed-4x5-03.jpg | out/H06-the-whole-product/H06-feed-4x5-04.jpg","The whole product, in four steps.

The bag comes to you, free with a subscription. You fill it — that is your entire job. We pick up on your guaranteed weekly slot. It comes back folded in 24 to 48 hours.

{{PRICE}} a month, flat. No per-pound math, no surprise totals.
hamperd.com

#hamperd #raleigh #raleighnc #laundryservice #familyrun #trianglenc #airbnbhost","Family-run and Raleigh-based. Questions: {{EMAIL}}","Four-slide carousel: the bag comes to you, you fill it, guaranteed weekly pickup slot, back in 24 to 48 hours folded."
"DRAFT — DO NOT PUBLISH","Hamper'd","TODO — the Hamper'd Instagram handle","TODO","H07","The Sunday Tax","2026-08-25","Tue","19:00","America/New_York","reel","Reel (9:16)","Reel (9:16)","out/H07-the-sunday-tax/H07-feed-4x5.jpg | out/H07-the-sunday-tax/H07-reel-9x16.jpg","You pay the Sunday tax every week. Not in money — in Sundays.

{{PRICE}} a month, flat. One bag on the porch, back in 24 to 48 hours, folded.
hamperd.com

#hamperd #raleigh #raleighnc #laundryservice #raleighbusiness #timeback #laundryday","No per-pound math. One flat monthly rate and a guaranteed weekly pickup slot.","Vertical video reading The Sunday Tax. Not in money, in Sundays. Sorting, waiting, folding. Or one bag on the porch, with flat monthly pricing."
"DRAFT — DO NOT PUBLISH","Hamper'd","TODO — the Hamper'd Instagram handle","TODO","H08","First Thing They Touch","2026-08-27","Thu","09:00","America/New_York","single","Feed (4:5)","Feed (1:1)","out/H08-first-thing-they-touch/H08-feed-1x1.jpg | out/H08-first-thing-they-touch/H08-feed-4x5.jpg","Before the cut, before the class, before the treatment — a client picks up one of your towels. That is the first thing your business physically hands them.

Hamper'd runs commercial laundry for Raleigh salons, gyms, studios and clinics. {{COMMERCIAL_TERMS}}

hamperd.com

#hamperd #raleigh #raleighnc #laundryservice #pickupanddelivery #washandfold #raleighsmallbusiness","Commercial enquiries: {{EMAIL}}","Graphic reading 'Your towels are the first thing they touch.' with commercial laundry terms in the footer."
"DRAFT — DO NOT PUBLISH","Hamper'd","TODO — the Hamper'd Instagram handle","TODO","H09","Not A Labor Line","2026-09-01","Tue","08:30","America/New_York","single","Feed (4:5)","Feed (1:1)","out/H09-not-a-labor-line/H09-feed-1x1.jpg | out/H09-not-a-labor-line/H09-feed-4x5.jpg","Every hour your staff spends in front of a dryer is an hour they are not doing the job you hired them for. It rarely shows up as a line item, but you are paying for it.

Hamper'd runs commercial laundry across Raleigh. {{COMMERCIAL_TERMS}}

hamperd.com

#hamperd #raleigh #raleighnc #laundryservice #workingparents #familyrun #trianglenc","Commercial enquiries: {{EMAIL}}","Graphic reading 'Linen shouldn't be a labor line.' with commercial laundry terms in the footer."
"DRAFT — DO NOT PUBLISH","Hamper'd","TODO — the Hamper'd Instagram handle","TODO","H10","Turnover Day","2026-09-03","Thu","09:15","America/New_York","single","Feed (4:5)","Feed (1:1)","out/H10-turnover-day/H10-feed-1x1.jpg | out/H10-turnover-day/H10-feed-4x5.jpg","Checkout at eleven. Check-in at four. Everything in between is linen, and none of it is negotiable.

Hamper'd handles turnover laundry for Raleigh short-term rental hosts — beds, baths, the whole set, on a schedule that fits the gap. {{COMMERCIAL_TERMS}}

hamperd.com

#hamperd #raleigh #raleighnc #laundryservice #airbnbhost #raleighbusiness #timeback","Turnover schedules and volume pricing: {{EMAIL}}","Graphic reading 'Turnover day doesn't wait for a dryer.' with short-term rental turnover terms in the footer."
